,BCH,BCN,BELA,BTS,BURST,DASH,DCR,DGB,DOGE,ETC,ETH,FCT,LTC,MAID,NAV,NXT,REP,SC,STEEM,STR,STRAT,SYS,VRC,XEM,XMR,XPM,XRP,ZEC,BTC
BCH,1.0,0.08556631112863938,0.050788701915880294,0.2988511068702432,-0.00489323005359975,0.47667732040538097,0.19241809763343845,0.16849077641267965,0.1835033236661939,0.4168025628204652,0.300289015610075,0.30582686516281266,0.2334605545048263,0.27340951123411134,0.06893793753707539,0.17967719158273385,0.2835008484396025,0.22301506902756282,0.20656543632793598,0.033214209971780824,0.07497808842170252,0.19190939750204922,0.03975399313017139,0.18775629807694685,0.227677354701358,0.13386257986337083,0.038085441036512985,0.28875153733437914,0.021983440419586123
BCN,0.08556631112863938,1.0,0.20850604329633315,0.17138877540528183,0.17042440124475078,0.14568524456353377,0.08928531890430444,0.2953473805953647,0.275219509209769,0.1362194641938232,0.1420137329000563,0.20950276367299514,0.11990671513025171,0.20551444379034328,0.07613692844150086,0.09294901035879424,0.13348917462865423,0.24268008331401858,0.11054278663525659,0.18316257012290307,0.11202643436133364,0.2386560315333303,0.14525147575429972,0.14242440304427434,0.16050341668947812,0.1744362332582142,0.1137367317692965,0.19249926127130945,0.21176708557097218
BELA,0.050788701915880294,0.20850604329633315,1.0,0.3011857691982839,0.3636855586983763,0.2345321687823638,0.3391820906111169,0.2968774226699519,0.3443425316270134,0.3222195963849549,0.3114729629255228,0.3814329676511965,0.3296171628269305,0.40436852541446033,0.3169591297935355,0.26101488969042447,0.28532618547720934,0.38947089956997283,0.25063324127081005,0.25370751555077026,0.41253392549230256,0.3654937133274675,0.19636096434081565,0.20112958218911953,0.304784696881765,0.2794601154585521,0.20920755398433055,0.2183313735730517,0.3790048262148404
BTS,0.2988511068702432,0.17138877540528183,0.3011857691982839,1.0,0.41536917898681935,0.3293000895094812,0.2607660359835627,0.43036585774792996,0.5727638755098622,0.3964255130071889,0.4920010002732844,0.47739447980366256,0.38349778488147396,0.4989328170714246,0.3508617682849052,0.5371087560348702,0.3869115607539271,0.528164038085026,0.4733256119093961,0.5579391449289166,0.4111481072354541,0.4415090101571863,0.32437428721440675,0.43176521689512426,0.42226436652561217,0.4537478199282491,0.503880490690908,0.3685760106644751,0.3748369344391572
BURST,-0.00489323005359975,0.17042440124475078,0.3636855586983763,0.41536917898681935,1.0,0.2652036833845931,0.32506252598552304,0.4633879811031613,0.46110880274562055,0.2892029000079854,0.31070398224614343,0.45036556056558247,0.2807673228763619,0.5055011412869185,0.41373556125047817,0.41844105072818155,0.35989567431420155,0.512581253753891,0.33721891272593624,0.3789279584470307,0.4436144964552616,0.4578082635234552,0.30356755238474414,0.36274837074854444,0.34282801038168065,0.3620284779184995,0.28827169347821346,0.27801239291074564,0.3714685288602117
DASH,0.47667732040538097,0.14568524456353377,0.2345321687823638,0.3293000895094812,0.2652036833845931,1.0,0.3180427194567717,0.25746247139073775,0.3719099508009256,0.48105313954455126,0.5700889883591067,0.5213523372253882,0.41039183433378745,0.4966757443749226,0.26631359744790767,0.28033152888212315,0.49154378192524417,0.34940739202243953,0.3590996580481087,0.24395514204931554,0.4168935485347567,0.3890051131421794,0.2208817261350199,0.38409986315323846,0.5590028969812296,0.27248534335575514,0.16464340419636644,0.5890278376801626,0.4198859431260499
DCR,0.19241809763343845,0.08928531890430444,0.3391820906111169,0.2607660359835627,0.32506252598552304,0.3180427194567717,1.0,0.30823380238259523,0.35354713338950483,0.25084670413271726,0.31396421748689324,0.3489414991940205,0.26504460502192556,0.38697263505703783,0.39773435296281207,0.22802146758664088,0.31013963467425876,0.38893393092251805,0.2609634348855173,0.18987440294722127,0.36944668070844405,0.39127628275217835,0.216091116994368,0.2848369302900223,0.2999526927314144,0.2998393541522594,0.15350676593404092,0.25710682469908736,0.2901022303734499
DGB,0.16849077641267965,0.2953473805953647,0.2968774226699519,0.43036585774792996,0.4633879811031613,0.25746247139073775,0.30823380238259523,1.0,0.5040240105831076,0.2431795312528383,0.31140814329236066,0.43851791715392363,0.21357697453866978,0.4513003053039083,0.3568556319588916,0.3319828041703154,0.31638982177715386,0.6926659178016876,0.3569295521342271,0.40465453498739656,0.4556014707051383,0.44354595573745986,0.26313141061225537,0.264630672082974,0.2988289922848838,0.3446824875045856,0.29698826693817887,0.267972085349092,0.322047972489496
DOGE,0.1835033236661939,0.275219509209769,0.3443425316270134,0.5727638755098622,0.46110880274562055,0.3719099508009256,0.35354713338950483,0.5040240105831076,1.0,0.45062120161865965,0.506934514488569,0.5743994988194197,0.4783385408582912,0.5656831713324298,0.3631900039440072,0.4260005707122105,0.43948295581718644,0.6026965625904961,0.4021783236728787,0.5384518183979892,0.4491178861659665,0.49342164913665043,0.3336185681931681,0.4512305993782903,0.48808485143485436,0.490183740471086,0.4415122716315179,0.4902231333570283,0.44160267046327945
ETC,0.4168025628204652,0.1362194641938232,0.3222195963849549,0.3964255130071889,0.2892029000079854,0.48105313954455126,0.25084670413271726,0.2431795312528383,0.45062120161865965,1.0,0.6672099582687459,0.5476164199097786,0.5487017967609029,0.5427335155089671,0.3644287884630153,0.36778284222322455,0.5196368350089207,0.36925707169349953,0.2965483499459074,0.2809563889676762,0.46644767238740475,0.4955632673329646,0.2614131441161393,0.39206178861170776,0.5308717625577007,0.32614457895160076,0.2045229101645835,0.485601831818461,0.5428493785938305
